function,args,kwargs
sklearn.datasets.make_blobs,,"centers=**, n_features=1, n_samples=n_samples"
sklearn.covariance.OAS,,"assume_centered=False, store_precision=False"
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,"shrinkage=None, solver=lsqr"
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,"shrinkage=auto, solver=lsqr"
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,"covariance_estimator=oa, solver=lsqr"
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis.predict_proba,**,
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,"solver=svd, store_covariance=True"
sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,,store_covariance=True
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,
sklearn.discriminant_analysis.LinearDiscriminantAnalysis,,
sklearn.datasets.load_iris,,
sklearn.svm.SVC,,"C=C, kernel=linear, probability=True, random_state=0"
sklearn.gaussian_process.GaussianProcessClassifier,kernel,
sklearn.linear_model._logistic.LogisticRegression.fit,"X, y",
sklearn.metrics.accuracy_score,"y, y_pred",
sklearn.datasets.load_digits,,
sklearn.svm.SVC,,gamma=0.001
sklearn.svm._base.BaseLibSVM.fit,"X_train, y_train",
sklearn.svm._base.BaseSVC.predict,X_test,
sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay.from_predictions,"y_test, predicted",
sklearn.metrics.classification_report,"y_test, predicted",
sklearn.metrics.classification_report,"y_true, y_pred",
sklearn.datasets.load_iris,,
sklearn.model_selection.train_test_split,"X, y",random_state=0
sklearn.tree.DecisionTreeClassifier,,"max_leaf_nodes=3, random_state=0"
sklearn.tree._classes.DecisionTreeClassifier.fit,"X_train, y_train",
sklearn.tree.plot_tree,clf,
sklearn.tree._classes.BaseDecisionTree.decision_path,X_test,
sklearn.tree._classes.BaseDecisionTree.apply,X_test,
sklearn.datasets.load_breast_cancer,,return_X_y=True
sklearn.model_selection.train_test_split,"X, y",random_state=0
sklearn.tree.DecisionTreeClassifier,,random_state=0
sklearn.tree._classes.BaseDecisionTree.cost_complexity_pruning_path,"X_train, y_train",
sklearn.tree.DecisionTreeClassifier,,"ccp_alpha=ccp_alpha, random_state=0"
sklearn.tree._classes.DecisionTreeClassifier.fit,"X_train, y_train",
sklearn.base.ClassifierMixin.score,"X_train, y_train",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.datasets.load_iris,,
sklearn.tree._classes.DecisionTreeClassifier.fit,"**, **",
sklearn.tree.plot_tree,clf,filled=True
sklearn.tree._classes.DecisionTreeClassifier,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","ax=ax, cmap=**, response_method=predict, xlabel=**, ylabel=**"
sklearn.tree.DecisionTreeClassifier,,
sklearn.tree.DecisionTreeClassifier,,
sklearn.tree.DecisionTreeRegressor,,max_depth=2
sklearn.tree.DecisionTreeRegressor,,max_depth=5
sklearn.tree.DecisionTreeRegressor,,max_depth=8
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.tree._classes.BaseDecisionTree.predict,X_test,
sklearn.tree._classes.BaseDecisionTree.predict,X_test,
sklearn.tree._classes.BaseDecisionTree.predict,X_test,
sklearn.tree.DecisionTreeRegressor,,max_depth=2
sklearn.tree.DecisionTreeRegressor,,max_depth=5
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.tree._classes.BaseDecisionTree.predict,X_test,
sklearn.tree._classes.BaseDecisionTree.predict,X_test,
sklearn.datasets.make_classification,,"n_classes=2, n_features=10, n_informative=3, n_redundant=0, n_repeated=0, n_samples=1000, random_state=0, shuffle=False"
sklearn.model_selection.train_test_split,"X, y","random_state=42, stratify=y"
sklearn.ensemble.RandomForestClassifier,,random_state=0
sklearn.ensemble._forest.BaseForest.fit,"X_train, y_train",
sklearn.inspection.permutation_importance,"forest, X_test, y_test","n_jobs=2, n_repeats=10, random_state=42"
sklearn.datasets.fetch_openml,,"as_frame=True, data_id=42165, parser=pandas, return_X_y=True"
sklearn.compose.make_column_transformer,**,remainder=passthrough
sklearn.pipeline.make_pipeline,"dropper, **",
sklearn.compose.make_column_transformer,**,remainder=passthrough
sklearn.compose.make_column_transformer,**,"remainder=passthrough, verbose_feature_names_out=False"
sklearn.pipeline.Pipeline,,transform=pandas
sklearn.model_selection.cross_validate,"hist_dropped, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_one_hot, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_ordinal, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_native, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_dropped, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_one_hot, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_ordinal, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.model_selection.cross_validate,"hist_native, X, y","cv=n_cv_folds, scoring=scoring"
sklearn.ensemble.HistGradientBoostingRegressor,,random_state=42
sklearn.ensemble.HistGradientBoostingRegressor,,random_state=42
sklearn.ensemble.HistGradientBoostingRegressor,,random_state=42
sklearn.pipeline.Pipeline.set_params,,"histgradientboostingregressor__max_depth=3, histgradientboostingregressor__max_iter=15"
sklearn.compose.make_column_selector,,dtype_include=category
sklearn.preprocessing.OneHotEncoder,,"handle_unknown=ignore, sparse_output=False"
sklearn.compose.make_column_selector,,dtype_include=category
sklearn.preprocessing.OrdinalEncoder,,"handle_unknown=use_encoded_value, unknown_value=**"
sklearn.compose.make_column_selector,,dtype_include=category
sklearn.ensemble.HistGradientBoostingRegressor,,"categorical_features=categorical_columns, random_state=42"
sklearn.datasets.make_gaussian_quantiles,,"n_classes=3, n_features=10, n_samples=13000, random_state=1"
sklearn.ensemble.AdaBoostClassifier,**,"learning_rate=1, n_estimators=300"
sklearn.ensemble.AdaBoostClassifier,**,"algorithm=SAMME, learning_rate=1.5, n_estimators=300"
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X_train, y_train",
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X_train, y_train",
sklearn.tree.DecisionTreeClassifier,,max_depth=2
sklearn.tree.DecisionTreeClassifier,,max_depth=2
sklearn.ensemble._weight_boosting.AdaBoostClassifier.staged_predict,X_test,
sklearn.metrics.accuracy_score,"real_test_predict, y_test",
sklearn.metrics.accuracy_score,"discrete_test_predict, y_test",
sklearn.datasets.make_gaussian_quantiles,,"cov=2.0, n_classes=2, n_features=2, n_samples=200, random_state=1"
sklearn.datasets.make_gaussian_quantiles,,"cov=1.5, mean=**, n_classes=2, n_features=2, n_samples=300, random_state=1"
sklearn.ensemble.AdaBoostClassifier,**,"algorithm=SAMME, n_estimators=200"
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"bdt, X","ax=ax, cmap=**, response_method=predict, xlabel=x, ylabel=y"
sklearn.ensemble._weight_boosting.AdaBoostClassifier.decision_function,X,
sklearn.tree.DecisionTreeClassifier,,max_depth=1
sklearn.datasets.make_classification,,"n_clusters_per_class=1, n_features=25, n_informative=15, n_samples=500, random_state=RANDOM_STATE"
sklearn.ensemble.RandomForestClassifier,,"max_features=sqrt, oob_score=True, random_state=RANDOM_STATE, warm_start=True"
sklearn.ensemble.RandomForestClassifier,,"max_features=log2, oob_score=True, random_state=RANDOM_STATE, warm_start=True"
sklearn.ensemble.RandomForestClassifier,,"max_features=None, oob_score=True, random_state=RANDOM_STATE, warm_start=True"
sklearn.base.BaseEstimator.set_params,,n_estimators=i
sklearn.ensemble._forest.BaseForest.fit,"X, y",
sklearn.tree.DecisionTreeRegressor,,max_depth=4
sklearn.ensemble.AdaBoostRegressor,**,"n_estimators=300, random_state=rng"
sklearn.tree._classes.DecisionTreeRegressor.fit,"X, y",
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X, y",
sklearn.tree._classes.BaseDecisionTree.predict,X,
sklearn.ensemble._weight_boosting.AdaBoostRegressor.predict,X,
sklearn.tree.DecisionTreeRegressor,,max_depth=4
sklearn.datasets.fetch_olivetti_faces,,
sklearn.ensemble.RandomForestClassifier,,"n_estimators=750, n_jobs=n_jobs, random_state=42"
sklearn.ensemble._forest.BaseForest.fit,"X, y",
sklearn.ensemble.HistGradientBoostingRegressor,,
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.BaseHistGradientBoosting.fit,"X, y",
sklearn.ensemble.HistGradientBoostingRegressor,,monotonic_cst=**
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.BaseHistGradientBoosting.fit,"X, y",
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"gbdt_no_cst, X","ax=ax, feature_names=**, features=**, line_kw=**"
sklearn.inspection._plot.partial_dependence.PartialDependenceDisplay.from_estimator,"gbdt_with_monotonic_cst, X","ax=**, features=**, line_kw=**"
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor,"X_df, y",
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor.predict,X_df,
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor.predict,X,
sklearn.ensemble.HistGradientBoostingRegressor,,monotonic_cst=**
sklearn.compose.make_column_selector,,dtype_include=object
sklearn.compose.make_column_selector,,dtype_include=**
sklearn.compose._column_transformer.make_column_selector,X,
sklearn.compose._column_transformer.make_column_selector,X,
sklearn.preprocessing._encoders.OrdinalEncoder,,"encoded_missing_value=**, handle_unknown=use_encoded_value, unknown_value=**"
sklearn.impute.SimpleImputer,,"add_indicator=True, strategy=mean"
sklearn.compose.make_column_transformer,"**, **",
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.pipeline.Pipeline,"**, **",
sklearn.compose.make_column_transformer,"**, **",
sklearn.pipeline.make_pipeline,"linear_preprocessor, **",
sklearn.pipeline.make_pipeline,"tree_preprocessor, **",
sklearn.pipeline.Pipeline,"tree_preprocessor, **",
sklearn.ensemble.StackingRegressor,,"estimators=estimators, final_estimator=**"
sklearn.datasets.fetch_openml,,"as_frame=True, name=house_prices, parser=pandas"
sklearn.utils.shuffle,"X, y",random_state=0
sklearn.preprocessing.StandardScaler,,
sklearn.impute.SimpleImputer,,"add_indicator=True, strategy=mean"
sklearn.pipeline.Pipeline,,
sklearn.compose._column_transformer.ColumnTransformer,,random_state=42
sklearn.ensemble.HistGradientBoostingRegressor,,random_state=0
sklearn.model_selection.cross_validate,"est, X, y","n_jobs=**, scoring=**, verbose=0"
sklearn.model_selection.cross_val_predict,"est, X, y","n_jobs=**, verbose=0"
sklearn.metrics._plot.regression.PredictionErrorDisplay.from_predictions,,"ax=ax, kind=actual_vs_predicted, line_kwargs=**, scatter_kwargs=**, y_pred=y_pred, y_true=y"
sklearn.ensemble._stacking.StackingRegressor,,
sklearn.model_selection.train_test_split,"X, y","random_state=9, test_size=0.5"
sklearn.ensemble.GradientBoostingClassifier,,**params
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.model_selection.KFold,,n_splits=n_splits
sklearn.ensemble.GradientBoostingClassifier,,**params
sklearn.model_selection._split.KFold,"X_train, y_train",
sklearn.ensemble._gb.BaseGradientBoosting.fit,"**, **",
sklearn.metrics.log_loss,"y_test, **",
sklearn.datasets.load_diabetes,,
sklearn.ensemble.GradientBoostingRegressor,,**params
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.metrics.mean_squared_error,"y_test, **",
sklearn.inspection.permutation_importance,"reg, X_test, y_test","n_jobs=2, n_repeats=10, random_state=42"
sklearn.metrics.mean_squared_error,X_test,
sklearn.metrics.mean_squared_error,"y_test, y_pred",
sklearn.model_selection.train_test_split,"X, y","random_state=42, stratify=y"
sklearn.ensemble.IsolationForest,,"max_samples=100, random_state=0"
sklearn.ensemble._iforest.IsolationForest.fit,X_train,
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.5, response_method=predict"
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.5, response_method=decision_function"
sklearn.tree.DecisionTreeRegressor,,
sklearn.ensemble.BaggingRegressor,**,
sklearn.ensemble.BaggingRegressor,,
sklearn.datasets.fetch_california_housing,,"as_frame=True, return_X_y=True"
sklearn.model_selection.KFold,,"n_splits=4, random_state=0, shuffle=True"
sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor,,
sklearn.ensemble.RandomForestRegressor,,"min_samples_leaf=5, n_jobs=N_CORES, random_state=0"
sklearn.model_selection._search.GridSearchCV,"X, y",
sklearn.model_selection._search.GridSearchCV,,"cv=cv, estimator=model, param_grid=**, return_train_score=True"
sklearn.datasets.make_classification,,"n_samples=80000, random_state=10"
sklearn.ensemble.RandomForestClassifier,,"max_depth=max_depth, n_estimators=n_estimators, random_state=10"
sklearn.ensemble._forest.BaseForest.fit,"X_train_ensemble, y_train_ensemble",
sklearn.ensemble.GradientBoostingClassifier,,"max_depth=max_depth, n_estimators=n_estimators, random_state=10"
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train_ensemble, y_train_ensemble",
sklearn.ensemble._forest.RandomTreesEmbedding,,"max_depth=max_depth, n_estimators=n_estimators, random_state=0"
sklearn.pipeline.make_pipeline,"random_tree_embedding, **",
sklearn.preprocessing.FunctionTransformer,rf_apply,kw_args=**
sklearn.pipeline.make_pipeline,"rf_leaves_yielder, **, **",
sklearn.preprocessing._function_transformer.FunctionTransformer,gbdt_apply,kw_args=**
sklearn.pipeline.make_pipeline,"gbdt_leaves_yielder, **, **",
sklearn.ensemble._forest.RandomTreesEmbedding,,max_iter=1000
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.linear_model.LogisticRegression,,max_iter=1000
sklearn.preprocessing.OneHotEncoder,,handle_unknown=ignore
sklearn.linear_model.LogisticRegression,,max_iter=1000
sklearn.metrics.RocCurveDisplay,"pipeline, X_test, y_test","ax=ax, name=name"
sklearn.datasets.make_circles,,"factor=0.5, noise=0.05, random_state=0"
sklearn.ensemble.RandomTreesEmbedding,,"max_depth=3, n_estimators=10, random_state=0"
sklearn.ensemble._forest.RandomTreesEmbedding,X,
sklearn.decomposition.TruncatedSVD,,n_components=2
sklearn.decomposition._truncated_svd.TruncatedSVD.fit_transform,X_transformed,
sklearn.naive_bayes.BernoulliNB,,
sklearn.naive_bayes._BaseDiscreteNB.fit,"X_transformed, y",
sklearn.ensemble.ExtraTreesClassifier,,"max_depth=3, n_estimators=10, random_state=0"
sklearn.ensemble._forest.BaseForest.fit,"X, y",
sklearn.ensemble._forest.RandomTreesEmbedding.transform,**,
sklearn.naive_bayes._BaseNB.predict_proba,transformed_grid,
sklearn.ensemble._forest.ForestClassifier.predict_proba,**,
sklearn.multioutput.MultiOutputRegressor,**,
sklearn.multioutput._MultiOutputEstimator.fit,"X_train, y_train",
sklearn.ensemble.RandomForestRegressor,,"max_depth=max_depth, n_estimators=100, random_state=2"
sklearn.ensemble._forest.BaseForest.fit,"X_train, y_train",
sklearn.multioutput._MultiOutputEstimator.predict,X_test,
sklearn.ensemble._forest.ForestRegressor.predict,X_test,
sklearn.ensemble.RandomForestRegressor,,"max_depth=max_depth, n_estimators=100, random_state=0"
sklearn.ensemble._forest.RandomForestRegressor,"X_test, y_test",
sklearn.model_selection.train_test_split,"X, y",random_state=0
sklearn.ensemble.GradientBoostingRegressor,,"loss=squared_error, **common_params"
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.ensemble._gb.GradientBoostingRegressor.predict,xx,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,xx,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,xx,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,xx,
sklearn.ensemble.GradientBoostingRegressor,,"alpha=alpha, loss=quantile, random_state=0"
sklearn.ensemble.GradientBoostingRegressor,,"alpha=alpha, loss=quantile, **common_params"
sklearn.metrics.mean_squared_error,"y_train, y_pred",
sklearn.metrics.mean_squared_error,"y_test, y_pred",
sklearn.ensemble._gb.GradientBoostingRegressor.predict,X_train,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,X_train,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,X_test,
sklearn.ensemble._gb.GradientBoostingRegressor.predict,X_test,
sklearn.metrics.mean_pinball_loss,"y_train, y_pred",alpha=alpha
sklearn.metrics.mean_pinball_loss,"y_test, y_pred",alpha=alpha
sklearn.model_selection.HalvingRandomSearchCV,"gbr, param_grid","max_resources=250, min_resources=50, n_jobs=2, random_state=0, resource=n_estimators, scoring=neg_mean_pinball_loss_05p_scorer"
sklearn.base.clone,search_05p,
sklearn.datasets.make_hastie_10_2,,"n_samples=12000, random_state=1"
sklearn.tree.DecisionTreeClassifier,,"max_depth=1, min_samples_leaf=1"
sklearn.tree._classes.DecisionTreeClassifier.fit,"X_train, y_train",
sklearn.tree.DecisionTreeClassifier,,"max_depth=9, min_samples_leaf=1"
sklearn.tree._classes.DecisionTreeClassifier.fit,"X_train, y_train",
sklearn.ensemble.AdaBoostClassifier,,"algorithm=SAMME, estimator=dt_stump, learning_rate=learning_rate, n_estimators=n_estimators"
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X_train, y_train",
sklearn.ensemble.AdaBoostClassifier,,"algorithm=SAMME.R, estimator=dt_stump, learning_rate=learning_rate, n_estimators=n_estimators"
sklearn.ensemble._weight_boosting.BaseWeightBoosting.fit,"X_train, y_train",
sklearn.tree._classes.DecisionTreeClassifier,"X_test, y_test",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.ensemble._weight_boosting.AdaBoostClassifier,X_test,
sklearn.metrics.zero_one_loss,"y_pred, y_test",
sklearn.ensemble._weight_boosting.AdaBoostClassifier,X_train,
sklearn.ensemble._weight_boosting.AdaBoostClassifier,X_test,
sklearn.metrics.zero_one_loss,"y_pred, y_test",
sklearn.ensemble._weight_boosting.AdaBoostClassifier,X_train,
sklearn.metrics.zero_one_loss,"y_pred, y_train",
sklearn.datasets.load_iris,,return_X_y=True
sklearn.datasets.make_classification,,"n_samples=800, random_state=0"
sklearn.datasets.make_hastie_10_2,,"n_samples=2000, random_state=0"
sklearn.ensemble.GradientBoostingClassifier,,"n_estimators=n_estimators, n_iter_no_change=5, random_state=0, tol=0.01, validation_fraction=0.2"
sklearn.ensemble.GradientBoostingClassifier,,"n_estimators=n_estimators, random_state=0"
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.base.ClassifierMixin.score,"X_test, y_test",
sklearn.ensemble._gb.GradientBoostingClassifier,"X_test, y_test",
sklearn.datasets.load_iris,,
sklearn.tree.DecisionTreeClassifier,,max_depth=None
sklearn.ensemble.RandomForestClassifier,,n_estimators=n_estimators
sklearn.ensemble.ExtraTreesClassifier,,n_estimators=n_estimators
sklearn.ensemble.AdaBoostClassifier,**,n_estimators=n_estimators
sklearn.tree.DecisionTreeClassifier,,max_depth=3
sklearn.ensemble._forest.BaseForest.fit,"X, y",
sklearn.ensemble._forest.ForestClassifier.predict,**,
sklearn.linear_model.LogisticRegression,,"max_iter=1000, random_state=123"
sklearn.ensemble.RandomForestClassifier,,"n_estimators=100, random_state=123"
sklearn.naive_bayes.GaussianNB,,
sklearn.ensemble.VotingClassifier,,"estimators=**, voting=soft, weights=**"
sklearn.linear_model._logistic.LogisticRegression.predict_proba,X,
sklearn.ensemble._voting.VotingClassifier,"X, y",
sklearn.datasets.make_hastie_10_2,,"n_samples=4000, random_state=1"
sklearn.model_selection.train_test_split,"X, y","random_state=0, test_size=0.8"
sklearn.ensemble.GradientBoostingClassifier,,**params
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X_train, y_train",
sklearn.datasets.load_iris,,
sklearn.tree.DecisionTreeClassifier,,max_depth=4
sklearn.neighbors.KNeighborsClassifier,,n_neighbors=7
sklearn.svm.SVC,,"gamma=0.1, kernel=rbf, probability=True"
sklearn.ensemble.VotingClassifier,,"estimators=**, voting=soft, weights=**"
sklearn.tree._classes.DecisionTreeClassifier.fit,"X, y",
sklearn.neighbors._classification.KNeighborsClassifier.fit,"X, y",
sklearn.svm._base.BaseLibSVM.fit,"X, y",
sklearn.ensemble._voting.VotingClassifier.fit,"X, y",
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"clf, X","alpha=0.4, ax=**, response_method=predict"
sklearn.datasets.load_diabetes,,return_X_y=True
sklearn.ensemble.GradientBoostingRegressor,,random_state=1
sklearn.ensemble.RandomForestRegressor,,random_state=1
sklearn.linear_model.LinearRegression,,
sklearn.ensemble._gb.BaseGradientBoosting.fit,"X, y",
sklearn.ensemble._forest.BaseForest.fit,"X, y",
sklearn.linear_model._base.LinearRegression.fit,"X, y",
sklearn.ensemble.VotingRegressor,**,
sklearn.ensemble._voting.VotingRegressor.fit,"X, y",
sklearn.ensemble._gb.GradientBoostingRegressor.predict,xt,
sklearn.ensemble._forest.ForestRegressor.predict,xt,
sklearn.linear_model._base.LinearModel.predict,xt,
sklearn.ensemble._voting.VotingRegressor.predict,xt,
sklearn.cluster.DBSCAN,,eps=0.3
sklearn.cluster._dbscan.DBSCAN.fit,**,
sklearn.cluster.HDBSCAN,,
sklearn.cluster._dbscan.DBSCAN,X,
sklearn.cluster._dbscan.DBSCAN,X,
sklearn.cluster.HDBSCAN,,
sklearn.cluster._dbscan.DBSCAN.fit,**,
sklearn.cluster.DBSCAN,,eps=0.9
sklearn.cluster.DBSCAN,,**params
sklearn.cluster.DBSCAN,,**params
sklearn.cluster.HDBSCAN,,
sklearn.cluster.HDBSCAN,,**param
sklearn.cluster.HDBSCAN,,**param
sklearn.cluster._affinity_propagation.AffinityPropagation.fit,X,
sklearn.cluster.AffinityPropagation,,"preference=**, random_state=0"
sklearn.metrics.homogeneity_score,"labels_true, labels",
sklearn.metrics.completeness_score,"labels_true, labels",
sklearn.metrics.v_measure_score,"labels_true, labels",
sklearn.metrics.adjusted_rand_score,"labels_true, labels",
sklearn.metrics.adjusted_mutual_info_score,"labels_true, labels",
sklearn.metrics.silhouette_score,"X, labels",metric=sqeuclidean
sklearn.datasets.make_blobs,,"centers=2, n_samples=n_samples, random_state=random_state"
sklearn.datasets.make_blobs,,"centers=**, cluster_std=**, n_samples=N_SAMPLES, random_state=RANDOM_STATE"
sklearn.cluster.AgglomerativeClustering,,n_clusters=3
sklearn.cluster._agglomerative.AgglomerativeClustering,X,
sklearn.ensemble.RandomForestClassifier,,random_state=RANDOM_STATE
sklearn.cluster._agglomerative.AgglomerativeClustering,X,
sklearn.inspection._plot.decision_boundary.DecisionBoundaryDisplay.from_estimator,"inductive_learner, X","alpha=0.4, ax=ax, response_method=predict"
sklearn.utils.metaestimators.available_if,**,
sklearn.utils.metaestimators.available_if,**,
sklearn.utils.validation.check_is_fitted,self,
sklearn.utils.validation.check_is_fitted,self,
sklearn.model_selection.KFold,2,
sklearn.linear_model.BayesianRidge,,
sklearn.feature_extraction.image.grid_to_graph,,"n_x=size, n_y=size"
sklearn.cluster.FeatureAgglomeration,,"connectivity=connectivity, memory=mem, n_clusters=10"
sklearn.pipeline.Pipeline,**,
sklearn.model_selection.GridSearchCV,"clf, **","cv=cv, n_jobs=1"
sklearn.model_selection._search.BaseSearchCV.fit,"X, y",
sklearn.feature_selection.SelectPercentile,f_regression,
sklearn.pipeline.Pipeline,**,
sklearn.model_selection.GridSearchCV,"clf, **",cv=cv
sklearn.model_selection._search.BaseSearchCV.fit,"X, y",
sklearn.model_selection._search.BaseSearchCV.fit.best_estimator_,"1, **",
sklearn.datasets.load_digits,,
sklearn.manifold._spectral_embedding.SpectralEmbedding.fit_transform,X,
sklearn.cluster.AgglomerativeClustering,,"linkage=linkage, n_clusters=10"
sklearn.cluster._agglomerative.AgglomerativeClustering.fit,X_red,
sklearn.manifold.SpectralEmbedding,,n_components=2
sklearn.datasets.make_circles,,"factor=0.5, n_samples=n_samples, noise=0.05"
sklearn.datasets.make_moons,,"n_samples=n_samples, noise=0.05"
sklearn.datasets.make_blobs,,"n_samples=n_samples, random_state=8"
sklearn.datasets.make_blobs,,"n_samples=n_samples, random_state=random_state"
sklearn.datasets.make_blobs,,"cluster_std=**, n_samples=n_samples, random_state=random_state"
sklearn.base.TransformerMixin.fit_transform,X,
sklearn.cluster.AgglomerativeClustering,,"linkage=ward, n_clusters=**"
sklearn.cluster.AgglomerativeClustering,,"linkage=complete, n_clusters=**"
sklearn.cluster.AgglomerativeClustering,,"linkage=average, n_clusters=**"
sklearn.cluster.AgglomerativeClustering,,"linkage=single, n_clusters=**"
sklearn.preprocessing.StandardScaler,,
sklearn.cluster._agglomerative.AgglomerativeClustering,X,
sklearn.cluster._agglomerative.AgglomerativeClustering,int,
