function,args,kwargs
matplotlib.pyplot.ylabel,target 2,
matplotlib.pyplot.title,Multi-output Decision Tree Regression,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"X, y","c=darkorange, edgecolor=black, label=data, s=20"
matplotlib.pyplot.plot,"X_test, y_1","color=cornflowerblue, label=max_depth=2, linewidth=2"
matplotlib.pyplot.plot,"X_test, y_2","color=yellowgreen, label=max_depth=5, linewidth=2"
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,Decision Tree Regression,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"1, 2",figsize=**
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,131,
matplotlib.pyplot.plot,"**, discrete_test_errors","c=black, label=SAMME"
matplotlib.pyplot.plot,"**, real_test_errors","c=black, label=SAMME.R, linestyle=dashed"
matplotlib.pyplot.legend,,
matplotlib.pyplot.ylim,"0.18, 0.62",
matplotlib.pyplot.ylabel,Test Error,
matplotlib.pyplot.xlabel,Number of Trees,
matplotlib.pyplot.subplot,132,
matplotlib.pyplot.plot,"**, discrete_estimator_errors, b","alpha=0.5, label=SAMME"
matplotlib.pyplot.plot,"**, real_estimator_errors, r","alpha=0.5, label=SAMME.R"
matplotlib.pyplot.legend,,
matplotlib.pyplot.ylabel,Error,
matplotlib.pyplot.xlabel,Number of Trees,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.subplot,133,
matplotlib.pyplot.plot,"**, discrete_estimator_weights, b",label=SAMME
matplotlib.pyplot.legend,,
matplotlib.pyplot.ylabel,Weight,
matplotlib.pyplot.xlabel,Number of Trees,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.subplots_adjust,,wspace=0.25
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,121,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.xlim,"x_min, x_max",
matplotlib.pyplot.ylim,"y_min, y_max",
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.title,Decision Boundary,
matplotlib.pyplot.subplot,122,
matplotlib.pyplot.axis,**,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.ylabel,Samples,
matplotlib.pyplot.xlabel,Score,
matplotlib.pyplot.title,Decision Scores,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots_adjust,,wspace=0.35
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","c=c, cmap=**, edgecolor=k, label=**, s=20"
matplotlib.pyplot.hist,**,"alpha=0.5, bins=10, edgecolor=k, facecolor=c, label=**, range=plot_range"
matplotlib.pyplot.xlim,"min_estimators, max_estimators",
matplotlib.pyplot.xlabel,n_estimators,
matplotlib.pyplot.ylabel,OOB error rate,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"xs, ys",label=label
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"X, y","color=**, label=training samples"
matplotlib.pyplot.plot,"X, y_1","color=**, label=n_estimators=1, linewidth=2"
matplotlib.pyplot.plot,"X, y_2","color=**, label=n_estimators=300, linewidth=2"
matplotlib.pyplot.xlabel,data,
matplotlib.pyplot.ylabel,target,
matplotlib.pyplot.title,Boosted Decision Tree Regression,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.matshow,imp_reshaped,cmap=**
matplotlib.pyplot.title,Pixel importances using impurity values,
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.show,,
matplotlib.pyplot,,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"2, 2",figsize=**
matplotlib.pyplot.suptitle,Single predictors versus stacked predictors,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots_adjust,,top=0.9
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"x, cumsum","color=oob_color, label=OOB loss, linestyle=oob_line"
matplotlib.pyplot.plot,"x, test_score","color=test_color, label=Test loss, linestyle=test_line"
matplotlib.pyplot.plot,"x, cv_score","color=cv_color, label=CV loss, linestyle=cv_line"
matplotlib.pyplot.axvline,,"color=oob_color, linestyle=oob_line, x=oob_best_iter"
matplotlib.pyplot.axvline,,"color=test_color, linestyle=test_line, x=test_best_iter"
matplotlib.pyplot.axvline,,"color=cv_color, linestyle=cv_line, x=cv_best_iter"
matplotlib.pyplot,,
matplotlib.pyplot.xticks,"xticks_pos, xticks_label",rotation=90
matplotlib.pyplot.legend,,loc=upper center
matplotlib.pyplot.ylabel,normalized loss,
matplotlib.pyplot.xlabel,number of iterations,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,"1, 1, 1",
matplotlib.pyplot.title,Deviance,
matplotlib.pyplot.plot,"**, **, b-",label=Training Set Deviance
matplotlib.pyplot.plot,"**, test_score, r-",label=Test Set Deviance
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.xlabel,Boosting Iterations,
matplotlib.pyplot.ylabel,Deviance,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,"1, 2, 1",
matplotlib.pyplot.barh,"pos, **",align=center
matplotlib.pyplot.yticks,"pos, **",
matplotlib.pyplot.title,Feature Importance (MDI),
matplotlib.pyplot.subplot,"1, 2, 2",
matplotlib.pyplot.boxplot,**,"labels=**, vert=False"
matplotlib.pyplot.title,Permutation Importance (test set),
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","c=y, edgecolor=k, s=20"
matplotlib.pyplot.axis,square,
matplotlib.pyplot.legend,,"handles=handles, labels=**, title=true class"
matplotlib.pyplot.title,"Gaussian inliers with 
uniformly distributed outliers",
matplotlib.pyplot.show,,
matplotlib.pyplot.axis,square,
matplotlib.pyplot.legend,,"handles=handles, labels=**, title=true class"
matplotlib.pyplot.show,,
matplotlib.pyplot.axis,square,
matplotlib.pyplot.legend,,"handles=handles, labels=**, title=true class"
matplotlib.pyplot.colorbar,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,right=0.75
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"2, n_estimators, **",
matplotlib.pyplot.plot,"X_test, **, b",label=$f(x)$
matplotlib.pyplot.plot,"**, **, .b",label=LS ~ $y = f(x)+noise$
matplotlib.pyplot.plot,"X_test, **, c",label=$\mathbb{E}_{LS} \^y(x)$
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.title,name,
matplotlib.pyplot.subplot,"2, n_estimators, **",
matplotlib.pyplot.plot,"X_test, y_error, r",label=$error(x)$
matplotlib.pyplot.plot,"X_test, y_noise, c",label=$noise(x)$
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.plot,X_test,
matplotlib.pyplot.legend,,loc=**
matplotlib.pyplot.plot,"X_test, y_bias, b",label=$bias^2(x)$
matplotlib.pyplot.plot,"X_test, y_var, g",label=$variance(x)$
matplotlib.pyplot.legend,,loc=**
matplotlib.pyplot.plot,"X_test, **, r",label=$\^y(x)$
matplotlib.pyplot.plot,"X_test, **, r",alpha=0.05
matplotlib.pyplot,,
matplotlib.pyplot,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,221,
matplotlib.pyplot.subplot,222,
matplotlib.pyplot.subplot,223,
matplotlib.pyplot.subplot,224,
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.scatter,"**, **","alpha=a, c=navy, edgecolor=k, label=Data, marker=s, s=s"
matplotlib.pyplot.scatter,"**, **","alpha=a, c=cornflowerblue, edgecolor=k, label=**, s=s"
matplotlib.pyplot.scatter,"**, **","alpha=a, c=c, edgecolor=k, label=**, marker=^, s=s"
matplotlib.pyplot.xlim,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.xlabel,target 1,
matplotlib.pyplot.ylabel,target 2,
matplotlib.pyplot.title,Comparing random forests and the multi-output meta estimator,
matplotlib.pyplot.legend,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"xx, **, g:","label=$f(x) = x\,\sin(x)$, linewidth=3"
matplotlib.pyplot.plot,"X_test, y_test, b.","label=Test observations, markersize=10"
matplotlib.pyplot.plot,"xx, y_med, r-",label=Predicted median
matplotlib.pyplot.plot,"xx, y_pred, r-",label=Predicted mean
matplotlib.pyplot.plot,"xx, y_upper, k-",
matplotlib.pyplot.plot,"xx, y_lower, k-",
matplotlib.pyplot.fill_between,"**, y_lower, y_upper","alpha=0.4, label=Predicted 90% interval"
matplotlib.pyplot.xlabel,$x$,
matplotlib.pyplot.ylabel,$f(x)$,
matplotlib.pyplot.ylim,"**, 25",
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.plot,"xx, **, g:","label=$f(x) = x\,\sin(x)$, linewidth=3"
matplotlib.pyplot.plot,"X_test, y_test, b.","label=Test observations, markersize=10"
matplotlib.pyplot.plot,"xx, y_upper, k-",
matplotlib.pyplot.plot,"xx, y_lower, k-",
matplotlib.pyplot.fill_between,"**, y_lower, y_upper","alpha=0.4, label=Predicted 90% interval"
matplotlib.pyplot.xlabel,$x$,
matplotlib.pyplot.ylabel,$f(x)$,
matplotlib.pyplot.ylim,"**, 25",
matplotlib.pyplot.legend,,loc=upper left
matplotlib.pyplot.title,Prediction with tuned hyper-parameters,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,xx,
matplotlib.pyplot.plot,xx,
matplotlib.pyplot.figure,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot,"index, score_gb, bar_width","color=crimson, label=Without early stopping"
matplotlib.pyplot,"**, score_gbes, bar_width","color=coral, label=With early stopping"
matplotlib.pyplot.xticks,"**, names",
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.grid,True,
matplotlib.pyplot.xlabel,Datasets,
matplotlib.pyplot.ylabel,Test score,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot,"index, time_gb, bar_width","color=crimson, label=Without early stopping"
matplotlib.pyplot,"**, time_gbes, bar_width","color=coral, label=With early stopping"
matplotlib.pyplot.xticks,"**, names",
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.grid,True,
matplotlib.pyplot.xlabel,Datasets,
matplotlib.pyplot.ylabel,Fit Time,
matplotlib.pyplot.show,,
matplotlib.pyplot,"**, **, **","ha=center, va=bottom"
matplotlib.pyplot.suptitle,Classifiers on feature subsets of the Iris dataset,fontsize=12
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.tight_layout,,"h_pad=0.2, pad=2.5, w_pad=0.2"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"3, 4, plot_idx",
matplotlib.pyplot,"**, **","c=y, cmap=**, edgecolor=k, s=20"
matplotlib.pyplot.title,model_title,fontsize=9
matplotlib.pyplot.contourf,"xx, yy, Z",cmap=cmap
matplotlib.pyplot.contourf,"xx, yy, Z","alpha=estimator_alpha, cmap=cmap"
matplotlib.colors.ListedColormap,**,
matplotlib.pyplot,,
matplotlib.pyplot.axvline,2.8,"color=k, linestyle=dashed"
matplotlib.pyplot.ylim,**,
matplotlib.pyplot.title,Class probabilities for sample 1 by different classifiers,
matplotlib.pyplot.legend,"**, **",loc=upper left
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.legend,,loc=upper right
matplotlib.pyplot.xlabel,Boosting Iterations,
matplotlib.pyplot.ylabel,Test Set Deviance,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"**, **, -","color=color, label=label"
matplotlib.pyplot.subplots,"2, 2","figsize=**, sharex=col, sharey=row"
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.plot,"pred1, gd",label=GradientBoostingRegressor
matplotlib.pyplot.plot,"pred2, b^",label=RandomForestRegressor
matplotlib.pyplot.plot,"pred3, ys",label=LinearRegression
matplotlib.pyplot.plot,"pred4, r*","label=VotingRegressor, ms=10"
matplotlib.pyplot.tick_params,,"axis=x, bottom=False, labelbottom=False, top=False, which=both"
matplotlib.pyplot.ylabel,predicted,
matplotlib.pyplot.xlabel,training samples,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.title,Regressor predictions and their average,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,"3, 1",figsize=**
matplotlib.pyplot.subplots,"1, 1",figsize=**
matplotlib.pyplot.subplots,"3, 1",figsize=**
matplotlib.pyplot.subplots,"2, 1",figsize=**
matplotlib.pyplot.subplots,"3, 1",figsize=**
matplotlib.pyplot.subplots,"3, 1",figsize=**
matplotlib.pyplot.subplots,"**, 1",figsize=**
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.subplots,,figsize=**
matplotlib.cm,each,
matplotlib.pyplot,unique_labels,
matplotlib.pyplot.close,all,
matplotlib.pyplot.figure,1,
matplotlib.pyplot.clf,,
matplotlib.pyplot.title,**,
matplotlib.pyplot.show,,
matplotlib.cm,**,
matplotlib.pyplot.scatter,"**, **","color=**, marker=."
matplotlib.pyplot.scatter,"**, **","color=**, marker=o, s=14"
matplotlib.pyplot,"**, **",color=**
matplotlib.pyplot,"**, **",figsize=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,131,
matplotlib.pyplot.title,Ward Linkage,
matplotlib.pyplot.subplot,132,
matplotlib.pyplot.title,Unknown instances,
matplotlib.pyplot.subplot,133,
matplotlib.pyplot.title,Classify unknown instances,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","alpha=alpha, c=color, edgecolor=k"
matplotlib.pyplot.close,all,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplot,"1, 3, 1",
matplotlib.pyplot.imshow,coef,"cmap=**, interpolation=nearest"
matplotlib.pyplot.title,True weights,
matplotlib.pyplot.subplot,"1, 3, 2",
matplotlib.pyplot.imshow,coef_selection_,"cmap=**, interpolation=nearest"
matplotlib.pyplot.title,Feature Selection,
matplotlib.pyplot.subplot,"1, 3, 3",
matplotlib.pyplot.imshow,coef_agglomeration_,"cmap=**, interpolation=nearest"
matplotlib.pyplot.title,Feature Agglomeration,
matplotlib.pyplot.subplots_adjust,"0.04, 0.0, 0.98, 0.94, 0.16, 0.26",
matplotlib.pyplot.show,,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.tight_layout,,rect=**
matplotlib.pyplot,**,"alpha=0.5, c=**, marker=**, s=50"
matplotlib.pyplot.title,title,size=17
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"bottom=0.001, hspace=0.01, left=0.02, right=0.98, top=0.96, wspace=0.05"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"**, **, plot_num",
matplotlib.pyplot.scatter,"**, **","color=**, s=10"
matplotlib.pyplot.xlim,"**, 2.5",
matplotlib.pyplot.ylim,"**, 2.5",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot,"0.99, 0.01, **","horizontalalignment=right, size=15, transform=**"
matplotlib.pyplot.subplot,datasets,
matplotlib.pyplot.title,name,size=18
matplotlib.pyplot.figure,1,
matplotlib.pyplot.scatter,"**, **","c=b, s=50"
matplotlib.pyplot.title,K-Means++ Initialization,
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.scatter,"**, **","c=col, marker=., s=10"
matplotlib.pyplot.figure,1,
matplotlib.pyplot.clf,,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.title,"Original image (96,615 colors)",
matplotlib.pyplot.imshow,china,
matplotlib.pyplot.figure,2,
matplotlib.pyplot.clf,,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.title,**,
matplotlib.pyplot.imshow,**,
matplotlib.pyplot.figure,3,
matplotlib.pyplot.clf,,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.title,**,
matplotlib.pyplot.imshow,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"bottom=0.001, hspace=0.01, left=0.02, right=0.98, top=0.95, wspace=0.05"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"**, **, plot_num",
matplotlib.pyplot.scatter,"**, **","color=**, s=10"
matplotlib.pyplot.xlim,"**, 2.5",
matplotlib.pyplot.ylim,"**, 2.5",
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot,"0.99, 0.01, **","horizontalalignment=right, size=15, transform=**"
matplotlib.pyplot.subplot,datasets,
matplotlib.pyplot.title,name,size=18
matplotlib.pyplot.figure,1,figsize=**
matplotlib.pyplot.clf,,
matplotlib.pyplot.subplots_adjust,,"bottom=0.01, left=0.01, right=0.99, top=0.91"
matplotlib.pyplot.subplot,"3, 4, 10",
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,Labels,
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"3, 4, **",
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest, vmax=16"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.subplot,"3, 4, **",
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest, vmax=16"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,Original data,
matplotlib.pyplot.title,Agglomerated data,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.show,,
matplotlib.colors,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.axes,**,
matplotlib.pyplot.legend,,loc=best
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.suptitle,Ground truth,"size=20, y=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,**,"alpha=0.5, c=color"
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.imshow,avg_dist,"cmap=cividis, interpolation=nearest, vmin=0"
matplotlib.pyplot.xticks,"**, labels",rotation=45
matplotlib.pyplot.yticks,"**, labels",
matplotlib.pyplot.colorbar,,
matplotlib.pyplot.suptitle,**,"size=18, y=1"
matplotlib.pyplot.tight_layout,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.axes,**,
matplotlib.pyplot.axis,tight,
matplotlib.pyplot.axis,off,
matplotlib.pyplot.suptitle,**,"size=20, y=1"
matplotlib.pyplot.plot,**,"alpha=0.5, c=color"
matplotlib.patheffects.withStroke,,"alpha=0.5, foreground=w, linewidth=5"
matplotlib.pyplot.figure,1,
matplotlib.pyplot.title,**,
matplotlib.pyplot.xlabel,**,
matplotlib.pyplot.ylabel,Score value,
matplotlib.pyplot.ylim,,"bottom=**, top=1.05"
matplotlib.pyplot.legend,"plots, names",bbox_to_anchor=**
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,2,
matplotlib.pyplot.title,"Clustering measures for 2 random uniform labelings
with equal number of clusters",
matplotlib.pyplot.xlabel,**,
matplotlib.pyplot.ylabel,Score value,
matplotlib.pyplot.legend,"plots, names",
matplotlib.pyplot.ylim,,"bottom=**, top=1.05"
matplotlib.pyplot.show,,
matplotlib.pyplot.errorbar,"n_clusters_range, **, **","alpha=0.8, linewidth=1, marker=marker"
matplotlib.pyplot.errorbar,"n_clusters_range, **, **","alpha=0.8, linewidth=2, marker=marker"
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2, nrows=1"
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.text,"**, 1.8, **",
matplotlib.pyplot.text,"**, 1.8, **",
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,1,
matplotlib.pyplot.clf,,
matplotlib.pyplot.title,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.plot,"**, **, **",color=col
matplotlib.pyplot.plot,"**, **, **","markeredgecolor=k, markerfacecolor=col, markersize=14"
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.suptitle,**,fontsize=16
matplotlib.pyplot.subplots_adjust,"0.08, 0.02, 0.92, 0.85, 0.08, 0.23",
matplotlib.pyplot.show,,
matplotlib.pyplot.subplot,"9, 9, **",
matplotlib.pyplot.imshow,**,"cmap=**, interpolation=nearest"
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.imshow,rescaled_coins,cmap=**
matplotlib.pyplot.xticks,**,
matplotlib.pyplot.yticks,**,
matplotlib.pyplot.title,title,
matplotlib.pyplot.contour,**,colors=colors
matplotlib.pyplot,**,
matplotlib.pyplot.figure,,
matplotlib.pyplot.figure,,
matplotlib.pyplot.show,,
matplotlib.pyplot,**,
matplotlib.pyplot,**,
matplotlib.pyplot.figure,,figsize=**
matplotlib.pyplot.subplots_adjust,,"hspace=0.25, wspace=0.25"
matplotlib.pyplot.show,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2"
matplotlib.pyplot.subplots,,"figsize=**, ncols=2"
matplotlib.pyplot.subplots,,
matplotlib.pyplot.subplots,,"figsize=**, ncols=2"
matplotlib.pyplot.subplots,,
matplotlib.pyplot.show,,
matplotlib.pyplot.suptitle,**,"fontsize=14, fontweight=bold"
matplotlib.pyplot.show,,
matplotlib.pyplot.figure,,figsize=**
